Patient ID,label,pred,concordance
GSM177885,1.0,1.0,1.0
GSM177894,0.0,0.0,1.0
GSM178025,1.0,1.0,1.0
GSM178060,0.0,0.0,1.0
GSM411319,1.0,1.0,1.0
GSM411347,1.0,1.0,1.0
GSM411334,1.0,1.0,1.0
GSM411387,1.0,1.0,1.0
GSM411374,0.0,1.0,0.0
GSM519144,0.0,0.0,1.0
GSM519153,0.0,0.0,1.0
GSM519193,0.0,1.0,0.0
GSM519217,0.0,0.0,1.0
GSM519222,0.0,0.0,1.0
GSM519266,1.0,1.0,1.0
GSM151268,1.0,0.0,0.0
GSM50102,0.0,0.0,1.0
GSM50112,1.0,0.0,0.0
GSM282520,1.0,0.0,0.0
GSM282535,1.0,0.0,0.0
GSM282570,1.0,0.0,0.0
GSM447209,1.0,0.0,0.0
GSM447247,0.0,0.0,1.0
GSM441643,0.0,0.0,1.0
GSM441690,0.0,1.0,0.0
GSM491186,1.0,1.0,1.0
GSM491286,0.0,0.0,1.0
GSM615160,1.0,1.0,1.0
GSM615189,0.0,0.0,1.0
GSM615195,0.0,0.0,1.0
GSM615200,0.0,0.0,1.0
GSM615221,1.0,1.0,1.0
GSM615233,0.0,1.0,0.0
GSM615236,0.0,0.0,1.0
GSM615332,0.0,0.0,1.0
GSM615368,1.0,1.0,1.0
GSM615651,0.0,0.0,1.0
GSM615662,1.0,1.0,1.0
GSM615823,1.0,1.0,1.0
GSM177970,0.0,1.0,0.0
GSM411395,0.0,0.0,1.0
GSM519120,0.0,0.0,1.0
GSM519131,1.0,1.0,1.0
GSM519167,0.0,0.0,1.0
GSM519171,1.0,0.0,0.0
GSM519175,0.0,0.0,1.0
GSM519226,0.0,0.0,1.0
GSM519358,1.0,1.0,1.0
GSM519380,1.0,1.0,1.0
GSM519397,0.0,0.0,1.0
GSM519414,1.0,1.0,1.0
GSM519415,0.0,0.0,1.0
GSM150944,0.0,0.0,1.0
GSM150958,1.0,0.0,0.0
GSM150976,1.0,1.0,1.0
GSM150978,0.0,0.0,1.0
GSM150990,0.0,0.0,1.0
GSM151008,0.0,0.0,1.0
GSM151009,0.0,0.0,1.0
GSM151024,0.0,0.0,1.0
GSM151054,0.0,0.0,1.0
GSM151330,1.0,1.0,1.0
GSM151344,0.0,0.0,1.0
GSM50085,0.0,1.0,0.0
GSM50093,1.0,1.0,1.0
GSM282391,0.0,0.0,1.0
GSM282401,0.0,0.0,1.0
GSM282406,0.0,0.0,1.0
GSM282439,0.0,1.0,0.0
GSM282450,1.0,1.0,1.0
GSM282516,0.0,0.0,1.0
GSM447213,0.0,0.0,1.0
GSM441624,0.0,0.0,1.0
GSM441626,1.0,0.0,0.0
GSM441637,1.0,1.0,1.0
GSM441661,0.0,0.0,1.0
GSM441693,1.0,1.0,1.0
GSM441726,0.0,0.0,1.0
GSM441751,0.0,0.0,1.0
GSM441755,0.0,0.0,1.0
GSM441789,0.0,0.0,1.0
GSM441813,0.0,0.0,1.0
GSM441851,1.0,1.0,1.0
GSM441857,1.0,0.0,0.0
GSM491205,0.0,0.0,1.0
GSM491230,1.0,1.0,1.0
GSM491233,0.0,1.0,0.0
GSM491251,0.0,0.0,1.0
GSM491264,1.0,0.0,0.0
GSM491283,1.0,0.0,0.0
GSM615097,0.0,0.0,1.0
GSM615180,1.0,1.0,1.0
GSM615184,0.0,0.0,1.0
GSM615196,0.0,1.0,0.0
GSM615198,1.0,1.0,1.0
GSM615633,0.0,0.0,1.0
GSM615695,0.0,0.0,1.0
